INTERACTING_PROTEINS,DDI,DLI  (3DID DMI),DLI  (ELM)
A0A024RAC6   Q9Y250-1,1,0,0
A0A024RAC6   Q9Y2T1,1,0,0
A0A024RAC6   S4R3B8,1,0,0
A0A075B6E4   B5MCM0,1,0,0
A0A075B6E4   Q15562-2,1,0,0
A0A087WSW0   A5D8V6,5,0,0
A0A087WSW0   O95817,5,0,0
A0A087WSW0   P43365,5,0,0
A0A087WSW0   P61968,5,0,0
A0A087WSW0   Q08117-2,5,0,0
A0A087WSW0   Q13077-1,5,0,0
A0A087WSW0   Q3LI64,5,0,0
A0A087WSW0   Q3LI66,5,0,0
A0A087WSW0   Q9Y4H4,5,0,0
A0A087WSW7   P50222,58,0,0
A0A087WSW7   Q14140,58,0,0
A0A087WSW7   Q9H1H1-1,58,0,0
A0A087WSX5   A6NEM1-1,9,0,0
A0A087WSX5   Q8IYI6,9,0,0
A0A087WSX5   Q96C03-1,9,0,0
A0A087WT00   O00258-1,15,0,0
A0A087WT00   P19397,15,0,0
A0A087WT00   P35372-1,15,0,0
A0A087WT00   P38484,15,0,0
A0A087WT00   Q3SXY8-1,15,0,0
A0A087WT00   Q8TED1,15,0,0
A0A087WT00   Q9Y282-1,15,0,0
A0A087WT05   O43765,13,0,0
A0A087WT05   P09466-1,13,0,0
A0A087WT08   P43361,9,0,0
A0A087WT08   P60371,9,0,0
A0A087WT08   Q99750,9,0,0
A0A087WT70   Q0D2K3-1,4,0,0
A0A087WT70   Q5MJ09,4,0,0
A0A087WT70   Q63ZY3-1,4,0,0
A0A087WT70   Q86YD7,4,0,0
A0A087WT70   Q99081-3,4,0,0
A0A087WT70   Q9Y2K6,4,0,0
A0A087WTN8   A0A087WTN8,67,3,0
A0A087WTN8   A0A087WXA6,67,3,0
A0A087WTN8   A0A087WXL1,67,3,0
A0A087WTN8   A0A0C4DFX4,67,3,0
A0A087WTN8   A0A1B0GWI1,67,3,0
A0A087WTN8   A6H8Z2-1,67,3,0
A0A087WTN8   A6NEM1-1,67,3,0
A0A087WTN8   A8MTQ0,67,3,0
A0A087WTN8   ENSP00000476265.1,67,3,0
A0A087WTN8   J3KNI1,67,3,0
A0A087WTN8   O00505,67,3,0
A0A087WTN8   O43609,67,3,0
A0A087WTN8   O60684,67,3,0
A0A087WTN8   O76011,67,3,0
A0A087WTN8   O95994,67,3,0
A0A087WTN8   P01258,67,3,0
A0A087WTN8   P0C7X2-1,67,3,0
A0A087WTN8   P10599-1,67,3,0
A0A087WTN8   P11473-1,67,3,0
A0A087WTN8   P13349,67,3,0
A0A087WTN8   P19237,67,3,0
A0A087WTN8   P24592,67,3,0
A0A087WTN8   P46736-1,67,3,0
A0A087WTN8   P48745,67,3,0
A0A087WTN8   Q03989-5,67,3,0
A0A087WTN8   Q07869-1,67,3,0
A0A087WTN8   Q08117-2,67,3,0
A0A087WTN8   Q12933-1,67,3,0
A0A087WTN8   Q13064,67,3,0
A0A087WTN8   Q13352-1,67,3,0
A0A087WTN8   Q15635,67,3,0
A0A087WTN8   Q15742-1,67,3,0
A0A087WTN8   Q16560-2,67,3,0
A0A087WTN8   Q2I0M5-1,67,3,0
A0A087WTN8   Q495M9,67,3,0
A0A087WTN8   Q4VX76-1,67,3,0
A0A087WTN8   Q5JR59-3,67,3,0
A0A087WTN8   Q5MJ10,67,3,0
A0A087WTN8   Q63ZY3-1,67,3,0
A0A087WTN8   Q68CZ6-1,67,3,0
A0A087WTN8   Q6NUQ1,67,3,0
A0A087WTN8   Q6PF05-1,67,3,0
A0A087WTN8   Q6PI77,67,3,0
A0A087WTN8   Q70EL1-9,67,3,0
A0A087WTN8   Q7Z3H0-1,67,3,0
A0A087WTN8   Q7Z7C7,67,3,0
A0A087WTN8   Q86TJ2-3,67,3,0
A0A087WTN8   Q86X02,67,3,0
A0A087WTN8   Q8IX15-1,67,3,0
A0A087WTN8   Q8IYD9-1,67,3,0
A0A087WTN8   Q8N720-1,67,3,0
A0A087WTN8   Q8NFV4-4,67,3,0
A0A087WTN8   Q8TB45-1,67,3,0
A0A087WTN8   Q8TD31-1,67,3,0
A0A087WTN8   Q8WW14-2,67,3,0
A0A087WTN8   Q8WWB5-1,67,3,0
A0A087WTN8   Q92622-1,67,3,0
A0A087WTN8   Q96C01,67,3,0
A0A087WTN8   Q96ED9-2,67,3,0
A0A087WTN8   Q96GN5-1,67,3,0
A0A087WTN8   Q96HA8-1,67,3,0
A0A087WTN8   Q99856,67,3,0
A0A087WTN8   Q9BRK3-1,67,3,0
A0A087WTN8   Q9BUY5,67,3,0
A0A087WTN8   Q9BXJ5,67,3,0
A0A087WTN8   Q9BYV2-1,67,3,0
A0A087WTN8   Q9C0B1-2,67,3,0
A0A087WTN8   Q9H019-1,67,3,0
A0A087WTN8   Q9H5F2,67,3,0
A0A087WTN8   Q9H707,67,3,0
A0A087WTN8   Q9NZ72-1,67,3,0
A0A087WTN8   Q9P2K3-2,67,3,0
A0A087WTN8   Q9UGI0,67,3,0
A0A087WTN8   Q9UJW9,67,3,0
A0A087WTN8   Q9UJX2-1,67,3,0
A0A087WTN8   Q9UM82,67,3,0
A0A087WTN8   Q9UNE2-1,67,3,0
A0A087WTN8   Q9UPG8,67,3,0
A0A087WTN8   Q9Y3C8,67,3,0
A0A087WTQ2   P50222,96,21,20
A0A087WUI2   E5RGB3,41,5,2
A0A087WUI2   H7C0T3,41,5,2
A0A087WUI2   P51692,41,5,2
A0A087WUI2   Q4LE39-3,41,5,2
A0A087WUI2   Q9NPA8-1,41,5,2
A0A087WV67   O15173-1,3,0,0
A0A087WV67   P48165,3,0,0
A0A087WV67   P50222,3,0,0
A0A087WV67   Q13520,3,0,0
A0A087WV67   Q7Z5P4-1,3,0,0
A0A087WV67   Q9NUH8-1,3,0,0
A0A087WV67   Q9Y6A9,3,0,0
A0A087WVE9   O75716,15,0,0
A0A087WVE9   P20618,15,0,0
A0A087WVE9   P25791-1,15,0,0
A0A087WVE9   P61968,15,0,0
A0A087WVE9   P81133,15,0,0
A0A087WVE9   Q6NZ36-4,15,0,0
A0A087WVE9   Q86UW9-1,15,0,0
A0A087WVE9   Q9BXS5-1,15,0,0
A0A087WVE9   Q9UJX0-2,15,0,0
A0A087WVE9   Q9Y2T2,15,0,0
A0A087WVE9   Q9Y6W3,15,0,0
A0A087WVF5   J3KNL2,26,4,0
A0A087WVF5   O14503,26,4,0
A0A087WVF5   O75603,26,4,0
A0A087WVF5   Q14119,26,4,0
A0A087WVF5   Q5VWN6-1,26,4,0
A0A087WVF5   Q86UY5-1,26,4,0
A0A087WVF5   Q86YD7,26,4,0
A0A087WVF5   Q8N443-1,26,4,0
A0A087WVF5   Q8TEB1-1,26,4,0
A0A087WVF5   Q8WW24,26,4,0
A0A087WVF5   Q96MY7-2,26,4,0
A0A087WVF5   Q9BZE0,26,4,0
A0A087WVF5   Q9NP66-1,26,4,0
A0A087WVF5   Q9NQL9,26,4,0
A0A087WVM2   Q9Y2W7-1,12,4,0
A0A087WVP0   P50222,14,0,0
A0A087WVP0   P51687,14,0,0
A0A087WVP0   P78424-1,14,0,0
A0A087WVP0   Q8N9N5-2,14,0,0
A0A087WVP0   Q8WWV3-1,14,0,0
A0A087WVP0   Q96DX5-1,14,0,0
A0A087WVS8   ENSP00000492953.1,4,3,0
A0A087WVS8   O95562,4,3,0
A0A087WVS8   Q5JXC2-1,4,3,0
A0A087WVS8   Q6NZ36-4,4,3,0
A0A087WVS8   Q70Z53-1,4,3,0
A0A087WVS8   Q86VR2-1,4,3,0
A0A087WVS8   Q96HA8-1,4,3,0
A0A087WVS8   Q9GZT6-1,4,3,0
A0A087WVS8   Q9NT62-1,4,3,0
A0A087WVS8   Q9Y2H1-1,4,3,0
A0A087WW39   A0A087WXA6,3,0,0
A0A087WW39   A0A0A0MSI2,3,0,0
A0A087WW39   Q02930-4,3,0,0
A0A087WW39   Q08117-2,3,0,0
A0A087WW39   Q13526,3,0,0
A0A087WW39   Q96E35,3,0,0
A0A087WW42   O95870-1,1,0,0
A0A087WW42   P56282-1,1,0,0
A0A087WW58   P67870,1,0,0
A0A087WW58   Q9ULC5-1,1,0,0
A0A087WWA7   O95817,1,0,0
A0A087WWA7   Q53G59-1,1,0,0
A0A087WWA7   Q8NB12,1,0,0
A0A087WWA7   Q92997-1,1,0,0
A0A087WWI0   P47224,8,0,0
A0A087WWI0   Q13637,8,0,0
A0A087WWI0   Q9BXS5-1,8,0,0
A0A087WWI0   Q9NQT4,8,0,0
A0A087WX54   A0AV96-1,4,0,0
A0A087WX54   P86478,4,0,0
A0A087WX54   P86479,4,0,0
A0A087WX54   P86480,4,0,0
A0A087WX54   P86481,4,0,0
A0A087WX54   P86496,4,0,0
A0A087WX54   Q05519-2,4,0,0
A0A087WX54   Q6ZRY4-1,4,0,0
A0A087WX54   Q8N9W6-1,4,0,0
A0A087WX54   Q9NVV9-1,4,0,0
A0A087WXE3   B8A4K4,2,0,0
A0A087WXE3   P14373-1,2,0,0
A0A087WXE3   Q0VD86-1,2,0,0
A0A087WXE3   Q13099-2,2,0,0
A0A087WXL1   A0A087WTN8,3,0,0
A0A087WXL1   Q9UMX0-1,3,0,0
A0A087WXN0   B8A4K4,5,0,0
A0A087WXN0   P0DP23,5,0,0
A0A087WXN0   P0DP24,5,0,0
A0A087WXN0   P0DP25,5,0,0
A0A087WYA8   Q8WTU0,1,0,0
A0A087WZ82   ENST00000485853.5,3,0,0
A0A087WZ82   F6RP06,3,0,0
A0A087WZ82   O00501,3,0,0
A0A087WZ82   O15173-1,3,0,0
A0A087WZ82   O60883,3,0,0
A0A087WZ82   O76090-1,3,0,0
A0A087WZ82   O95236-2,3,0,0
A0A087WZ82   O95436-2,3,0,0
A0A087WZ82   P30518-1,3,0,0
A0A087WZ82   P34981,3,0,0
A0A087WZ82   Q13520,3,0,0
A0A087WZ82   Q14973,3,0,0
A0A087WZ82   Q3KNW5,3,0,0
A0A087WZ82   Q6UW68,3,0,0
A0A087WZ82   Q6ZT21-1,3,0,0
A0A087WZ82   Q7RTY0,3,0,0
A0A087WZ82   Q86WB7-2,3,0,0
A0A087WZ82   Q8TDT2,3,0,0
A0A087WZ82   Q8WW43-1,3,0,0
A0A087WZ82   Q96HV5,3,0,0
A0A087WZ82   Q96K19-5,3,0,0
A0A087WZ82   Q96KR6,3,0,0
A0A087WZ82   Q96MV1,3,0,0
A0A087WZ82   Q96QE2,3,0,0
A0A087WZ82   Q9BZV2,3,0,0
A0A087WZ82   Q9H2K0,3,0,0
A0A087WZ82   Q9HA82,3,0,0
A0A087WZ82   Q9NQQ7-1,3,0,0
A0A087WZ82   Q9NRX6,3,0,0
A0A087WZ82   Q9NUH8-1,3,0,0
A0A087WZ82   Q9NZD1-1,3,0,0
A0A087WZ82   Q9UHI5-1,3,0,0
A0A087WZ82   Q9Y320-1,3,0,0
A0A087WZ82   Q9Y6A9,3,0,0
A0A087WZB2   P59542,22,0,0
A0A087WZP6   P10745,31,0,1
A0A087WZP6   P31273,31,0,1
A0A087WZP6   P48745,31,0,1
A0A087WZP6   P78337,31,0,1
A0A087WZP6   Q3LI66,31,0,1
A0A087WZP6   Q5T749,31,0,1
A0A087WZP6   Q5T7P2,31,0,1
A0A087WZP6   Q6NX45,31,0,1
A0A087WZP6   Q6ZTN6-3,31,0,1
A0A087WZP6   Q8IUG1,31,0,1
A0A087WZP6   Q92734-1,31,0,1
A0A087WZP6   Q96JK9,31,0,1
A0A087WZP6   Q9H9P5-5,31,0,1
A0A087WZP6   Q9NRQ2-1,31,0,1
A0A087WZP6   Q9P0T4,31,0,1
A0A087WZP6   Q9Y223-1,31,0,1
A0A087X037   A8MT33,67,3,0
A0A087X037   ENSP00000476265.1,67,3,0
A0A087X037   Q13422-7,67,3,0
A0A087X037   Q6NT76-1,67,3,0
A0A087X037   Q8TAP6-1,67,3,0
A0A087X037   Q96CN4-1,67,3,0
A0A087X037   Q96MF2-2,67,3,0
A0A087X094   O75031-1,1,0,0
A0A087X094   P43365,1,0,0
A0A087X094   Q9UHD9,1,0,0
A0A087X0A5   Q5JX71,11,0,0
A0A087X0R6   Q15041-1,8,0,0
A0A087X0R6   Q9NS64,8,0,0
A0A087X0R6   Q9Y680-2,8,0,0
A0A087X0T3   P78337,13,0,0
A0A087X0T3   Q08117-2,13,0,0
A0A087X0T3   Q16134-1,13,0,0
A0A087X0T3   Q2TAL8,13,0,0
A0A087X0T3   Q8NB12,13,0,0
A0A087X0T3   Q93062-3,13,0,0
A0A087X1G2   O95833,3,0,0
A0A087X1G2   Q9UGI0,3,0,0
A0A087X279   O00308-1,33,4,0
A0A087X279   O14879,33,4,0
A0A087X279   P50222,33,4,0
A0A087X279   Q6ZRY4-1,33,4,0
A0A087X279   Q86Y26-1,33,4,0
A0A087X279   Q9NZC7-5,33,4,0
A0A087X2D5   P50402,3,0,0
A0A087X2D5   Q6NZI2-1,3,0,0
A0A087X2D5   Q99471-1,3,0,0
A0A087X2D5   Q9HB20,3,0,0
A0A087X2F1   A6NEM1-1,9,0,0
A0A087X2F1   H7C4R2,9,0,0
A0A087X2F1   P60409,9,0,0
A0A087X2F1   Q5JR59-3,9,0,0
A0A087X2F1   Q86X02,9,0,0
A0A0A0MQQ9   B8A4K4,15,5,2
A0A0A0MQT4   Q969G2,96,21,20
A0A0A0MQZ8   A0A0C4DG42,5,0,0
A0A0A0MQZ8   ENSP00000476265.1,5,0,0
A0A0A0MQZ8   P86478,5,0,0
A0A0A0MQZ8   P86479,5,0,0
A0A0A0MQZ8   P86480,5,0,0
A0A0A0MQZ8   P86481,5,0,0
A0A0A0MQZ8   P86496,5,0,0
A0A0A0MQZ8   Q3LI72,5,0,0
A0A0A0MQZ8   Q3LI76,5,0,0
A0A0A0MQZ8   Q96PV6-2,5,0,0
A0A0A0MR49   P50222,4,0,0
A0A0A0MR49   Q9NPL8,4,0,0
A0A0A0MR80   O15160-1,2,0,0
A0A0A0MR80   P13196-1,2,0,0
A0A0A0MR80   Q12933-1,2,0,0
A0A0A0MR80   Q8N5A5-2,2,0,0
A0A0A0MR80   Q8NEH6,2,0,0
A0A0A0MR80   Q96HA8-1,2,0,0
A0A0A0MR80   Q9H0E9-2,2,0,0
A0A0A0MR97   ENSP00000476265.1,1,0,0
A0A0A0MR97   O75031-1,1,0,0
A0A0A0MR97   P51116,1,0,0
A0A0A0MR97   P56545-3,1,0,0
A0A0A0MR97   Q0VAM2-3,1,0,0
A0A0A0MR97   Q12933-1,1,0,0
A0A0A0MR97   Q15019-3,1,0,0
A0A0A0MR97   Q6NT76-1,1,0,0
A0A0A0MR97   Q86UB2-1,1,0,0
A0A0A0MR97   Q8NHQ1-1,1,0,0
A0A0A0MR97   Q96GX9-1,1,0,0
A0A0A0MR97   Q9UBB9-1,1,0,0
A0A0A0MRS7   A0A0C4DGP0,74,3,0
A0A0A0MRS7   A0A1B0GTW0,74,3,0
A0A0A0MRS7   A0PK00,74,3,0
A0A0A0MRS7   B2RUZ4,74,3,0
A0A0A0MRS7   C9JDX1,74,3,0
A0A0A0MRS7   F8W8C2,74,3,0
A0A0A0MRS7   O15155-1,74,3,0
A0A0A0MRS7   O15400-1,74,3,0
A0A0A0MRS7   O75379-1,74,3,0
A0A0A0MRS7   P01031,74,3,0
A0A0A0MRS7   P24593,74,3,0
A0A0A0MRS7   P50402,74,3,0
A0A0A0MRS7   P54849-1,74,3,0
A0A0A0MRS7   Q5QGT7,74,3,0
A0A0A0MRS7   Q6RW13-2,74,3,0
A0A0A0MRS7   Q92843-1,74,3,0
A0A0A0MRS7   Q9H2L4,74,3,0
A0A0A0MRS7   Q9NX47,74,3,0
A0A0A0MRX4   P01111,14,0,0
A0A0A0MRX4   P62070-1,14,0,0
A0A0A0MRX4   Q53G59-1,14,0,0
A0A0A0MRX4   Q8TCP9,14,0,0
A0A0A0MRX4   Q92963-1,14,0,0
A0A0A0MRX4   Q99578-1,14,0,0
A0A0A0MS31   O95696-1,2,0,0
A0A0A0MS31   Q96C28,2,0,0
A0A0A0MS31   Q9BXS5-1,2,0,0
A0A0A0MS31   Q9UK58-1,2,0,0
A0A0A0MS70   A0A0A0MS70,8,0,0
A0A0A0MS70   P13682,8,0,0
A0A0A0MS70   P78317-1,8,0,0
A0A0A0MS70   Q6IQ16,8,0,0
A0A0A0MS70   Q96HA8-1,8,0,0
A0A0A0MS70   Q9NWZ3-1,8,0,0
A0A0A0MS88   O76013-2,12,0,0
A0A0A0MS88   Q0VD86-1,12,0,0
A0A0A0MS88   Q53EZ4-1,12,0,0
A0A0A0MS88   Q53G59-1,12,0,0
A0A0A0MS88   Q7L5N1,12,0,0
A0A0A0MS88   Q7Z3Y8,12,0,0
A0A0A0MS88   Q8TBB1-1,12,0,0
A0A0A0MSI2   A0A087WW39,7,0,0
A0A0A0MSI2   H0YH91,7,0,0
A0A0A0MSI2   P53539-1,7,0,0
A0A0A0MSI2   Q15323,7,0,0
A0A0A0MSI2   Q96G42,7,0,0
A0A0A0MSI2   Q9UPG8,7,0,0
A0A0A0MSR2   O75031-1,1,0,0
A0A0A0MSR2   Q9NX04-1,1,0,0
A0A0A0MSR2   Q9P2K6,1,0,0
A0A0A0MT20   A0A0A0MT20,4,0,0
A0A0A0MT20   A8MY60,4,0,0
A0A0A0MT20   O75971-2,4,0,0
A0A0A0MT20   P54646,4,0,0
A0A0A0MT20   Q00994-1,4,0,0
A0A0A0MT20   Q12934-2,4,0,0
A0A0A0MT20   Q53FD0-2,4,0,0
A0A0A0MT20   Q53HL2,4,0,0
A0A0A0MT20   Q5JTB6,4,0,0
A0A0A0MT20   Q6ISS4-1,4,0,0
A0A0A0MT20   Q7L2Z9,4,0,0
A0A0A0MT20   Q86VP1-1,4,0,0
A0A0A0MT20   Q8IY31-3,4,0,0
A0A0A0MT20   Q8N443-1,4,0,0
A0A0A0MT20   Q8N720-1,4,0,0
A0A0A0MT20   Q96QG7-1,4,0,0
A0A0A0MT20   Q99598,4,0,0
A0A0A0MT20   Q9NVF7-1,4,0,0
A0A0A0MT20   Q9NYJ8-1,4,0,0
A0A0A0MT20   Q9P2A4-1,4,0,0
A0A0A0MT20   Q9P2W3,4,0,0
A0A0A0MT20   Q9UJ41-2,4,0,0
A0A0A0MT83   Q08043,24,0,0
A0A0A0MT83   Q3V5L5-5,24,0,0
A0A0A0MT83   Q9Y4H4,24,0,0
A0A0A0MTI2   O75604-1,63,22,13
A0A0A0MTI2   P08631-2,63,22,13
A0A0A0MTI2   P49759-1,63,22,13
A0A0A0MTI2   P49761-1,63,22,13
A0A0A0MTI2   Q08117-2,63,22,13
A0A0A0MTI2   Q86YD7,63,22,13
A0A0A0MTI2   Q8TAP4-1,63,22,13
A0A0A0MTI2   Q8TAU3-1,63,22,13
A0A0A0MTI2   Q96EZ8-1,63,22,13
A0A0A0MTI2   Q96IQ9-1,63,22,13
A0A0A0MTI2   Q9H1K6,63,22,13
A0A0A0MTI2   Q9H213,63,22,13
A0A0A0MTI2   Q9H5Z6-2,63,22,13
A0A0A0MTI2   Q9HB20,63,22,13
A0A0A0MTI2   Q9NRW1-1,63,22,13
A0A0A0MTI2   Q9NWX5-1,63,22,13
A0A0A0MTI2   Q9UBH0,63,22,13
A0A0A0MTI2   Q9UII6-1,63,22,13
A0A0B4J1R5   F8WBZ3,25,0,0
A0A0B4J1R5   O00526,25,0,0
A0A0B4J1R5   O95183,25,0,0
A0A0B4J1R5   P01031,25,0,0
A0A0B4J1R5   P19397,25,0,0
A0A0B4J1R5   P54852,25,0,0
A0A0B4J1R5   P56851,25,0,0
A0A0B4J1R5   P78348-2,25,0,0
A0A0B4J1R5   P78382-1,25,0,0
A0A0B4J1R5   Q08AM2,25,0,0
A0A0B4J1R5   Q13571,25,0,0
A0A0B4J1R5   Q4LDR2,25,0,0
A0A0B4J1R5   Q6RW13-2,25,0,0
A0A0B4J1R5   Q6UX06,25,0,0
A0A0B4J1R5   Q8N2H4-1,25,0,0
A0A0B4J1R5   Q8N5M9,25,0,0
A0A0B4J1R5   Q96DZ9-2,25,0,0
A0A0B4J1R5   Q96F15-1,25,0,0
A0A0B4J1R5   Q96JW4,25,0,0
A0A0B4J1R5   Q9BZL3,25,0,0
A0A0B4J1R5   Q9H2S6-1,25,0,0
A0A0B4J1R5   Q9Y6X1,25,0,0
A0A0B4J1S3   A0A0C4DGV4,11,3,5
A0A0B4J1S3   Q15834,11,3,5
A0A0B4J1Y2   Q14696-1,61,5,0
A0A0B4J1Y2   Q8TAP6-1,61,5,0
A0A0B4J295   Q86UW9-1,2,0,0
A0A0B4J2F2   P62072,102,16,35
A0A0B4J2F2   P78337,102,16,35
A0A0B4J2F2   Q14696-1,102,16,35
A0A0B4J2F2   Q68G74-1,102,16,35
A0A0B4J2F2   Q9BRT9-1,102,16,35
A0A0B4J2F2   Q9NRG1-1,102,16,35
A0A0B4J2F8   A5D8V6,7,0,0
A0A0B4J2F8   O15160-1,7,0,0
A0A0B4J2F8   Q5W5X9-3,7,0,0
A0A0B4J2F8   Q8N5M1,7,0,0
A0A0B4J2F8   Q9BUZ4-1,7,0,0
A0A0B4J2F8   Q9UPW6-1,7,0,0
A0A0C3SFZ9   A0A024RAC6,5,1,0
A0A0C3SFZ9   O14817,5,1,0
A0A0C3SFZ9   O43167-1,5,1,0
A0A0C3SFZ9   O43395-1,5,1,0
A0A0C3SFZ9   P01137,5,1,0
A0A0C3SFZ9   P26196,5,1,0
A0A0C3SFZ9   P41219-1,5,1,0
A0A0C3SFZ9   P60331,5,1,0
A0A0C3SFZ9   P60370,5,1,0
A0A0C3SFZ9   P68400-1,5,1,0
A0A0C3SFZ9   Q13895,5,1,0
A0A0C3SFZ9   Q14451-1,5,1,0
A0A0C3SFZ9   Q15560-1,5,1,0
A0A0C3SFZ9   Q2TBE0-1,5,1,0
A0A0C3SFZ9   Q3LI64,5,1,0
A0A0C3SFZ9   Q3LI67,5,1,0
A0A0C3SFZ9   Q3LI76,5,1,0
A0A0C3SFZ9   Q3LI77,5,1,0
A0A0C3SFZ9   Q52LG2,5,1,0
A0A0C3SFZ9   Q53GA4,5,1,0
A0A0C3SFZ9   Q5T749,5,1,0
A0A0C3SFZ9   Q8IWZ5-1,5,1,0
A0A0C3SFZ9   Q8IYE1,5,1,0
A0A0C3SFZ9   Q8N4B1-1,5,1,0
A0A0C3SFZ9   Q8N8B7-1,5,1,0
A0A0C3SFZ9   Q8N8X9,5,1,0
A0A0C3SFZ9   Q8TCE9-1,5,1,0
A0A0C3SFZ9   Q92993-1,5,1,0
A0A0C3SFZ9   Q96C24-1,5,1,0
A0A0C3SFZ9   Q96NT3-2,5,1,0
A0A0C3SFZ9   Q9BQ66,5,1,0
A0A0C3SFZ9   Q9BSM1-1,5,1,0
A0A0C3SFZ9   Q9H788-1,5,1,0
A0A0C3SFZ9   Q9NQT4,5,1,0
A0A0C3SFZ9   Q9NRQ2-1,5,1,0
A0A0C3SFZ9   Q9NZF1,5,1,0
A0A0C3SFZ9   Q9UJT9-1,5,1,0
A0A0C4DFM0   A0A0C4DFM0,13,0,0
A0A0C4DFM0   P47897-1,13,0,0
A0A0C4DFM0   Q12933-1,13,0,0
A0A0C4DFM0   Q58EX7-1,13,0,0
A0A0C4DFM0   Q5SYC1-1,13,0,0
A0A0C4DFM0   Q8WWU5-7,13,0,0
A0A0C4DFM0   Q9H0C1,13,0,0
A0A0C4DFM0   Q9H8Y8-1,13,0,0
A0A0C4DFM5   Q08043,26,0,0
A0A0C4DFM5   Q99471-1,26,0,0
A0A0C4DFN0   P10073,10,0,0
A0A0C4DFN0   P57086,10,0,0
A0A0C4DFN0   P68400-1,10,0,0
A0A0C4DFN0   Q92997-1,10,0,0
A0A0C4DFN0   Q9BWT7-1,10,0,0
A0A0C4DFN3   O00559-1,4,0,0
A0A0C4DFN3   O00560-1,4,0,0
A0A0C4DFN3   O00623,4,0,0
A0A0C4DFN3   O75208-1,4,0,0
A0A0C4DFN3   P11912-1,4,0,0
A0A0C4DFN3   P27105-1,4,0,0
A0A0C4DFN3   P30273,4,0,0
A0A0C4DFN3   P55040,4,0,0
A0A0C4DFN3   Q13520,4,0,0
A0A0C4DFN3   Q3KNW5,4,0,0
A0A0C4DFN3   Q53FP2,4,0,0
A0A0C4DFN3   Q5JX71,4,0,0
A0A0C4DFN3   Q5SR56-1,4,0,0
A0A0C4DFN3   Q6ZVE7,4,0,0
A0A0C4DFN3   Q7Z5P4-1,4,0,0
A0A0C4DFN3   Q8IXL7-2,4,0,0
A0A0C4DFN3   Q8N2U9-1,4,0,0
A0A0C4DFN3   Q8TBB6,4,0,0
A0A0C4DFN3   Q8TDT2,4,0,0
A0A0C4DFN3   Q9Y320-1,4,0,0
A0A0C4DFQ6   P40855-1,21,4,0
A0A0C4DFQ7   P08294,86,19,0
A0A0C4DFQ7   P40189-1,86,19,0
A0A0C4DFQ7   Q01432-4,86,19,0
A0A0C4DFQ7   Q02577,86,19,0
A0A0C4DFQ7   Q12797-6,86,19,0
A0A0C4DFQ7   Q3MII6-1,86,19,0
A0A0C4DFQ7   Q7Z698-1,86,19,0
A0A0C4DFQ7   Q86T65-4,86,19,0
A0A0C4DFQ7   Q99732-1,86,19,0
A0A0C4DFQ7   Q9GZT8-1,86,19,0
A0A0C4DFQ7   Q9H5X1-1,86,19,0
A0A0C4DFT7   O00501,2,0,0
A0A0C4DFT7   O15552,2,0,0
A0A0C4DFT7   O43765,2,0,0
A0A0C4DFT7   P55061-1,2,0,0
A0A0C4DFT7   Q13113,2,0,0
A0A0C4DFT7   Q13571,2,0,0
A0A0C4DFT7   Q14145,2,0,0
A0A0C4DFT7   Q3KNW5,2,0,0
